entity_1,relationship,entity_2
Abolfazl Ramazanzadeh Moshkani,Acting for or on behalf of,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Mehrsam Andisheh Saz Nik,Acting for or on behalf of,Iranian Islamic Revolutionary Guard Corps Cyber-Electronic Command
Reza Kazemifar Rahman,Acting for or on behalf of,Iranian Islamic Revolutionary Guard Corps Cyber-Electronic Command
Dadeh Afzar Arman,Acting for or on behalf of,Iranian Islamic Revolutionary Guard Corps Cyber-Electronic Command
Alireza Shafie Nasab,Acting for or on behalf of,Iranian Islamic Revolutionary Guard Corps Cyber-Electronic Command
Komeil Baradaran Salmani,Acting for or on behalf of,Iranian Islamic Revolutionary Guard Corps Cyber-Electronic Command
Pouya Air,Providing support to,Islamic Revolutionary Guard Corps Air Force
Bonyan Danesh Shargh Private Company,Providing support to,Islamic Revolutionary Guard Corps Aerospace Force Self Sufficiency Jihad Organization
Mohammad Nazar Azimi,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Kourosh Asiabani,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Hassan Shahvarpour Najafabadi,Acting for or on behalf of,Islamic Revolutionary Guard Corps
